name,price,stock_quantity
Product_1,448.55,408
Product_2,503.34,337
Product_3,959.02,292
Product_4,429.43,343
Product_5,89.76,18
Product_6,723.94,386
Product_7,202.53,118
Product_8,796.64,308
Product_9,859.66,348
Product_10,392.56,146
Product_11,544.59,500
Product_12,338.52,275
Product_13,271.27,106
Product_14,23.99,161
Product_15,291.76,408
Product_16,312.28,436
Product_17,197.92,213
Product_18,890.79,413
Product_19,901.34,329
Product_20,596.47,156
Product_21,14.37,28
Product_22,934.01,393
Product_23,517.48,175
Product_24,277.14,15
Product_25,592.28,324
Product_26,366.99,96
Product_27,310.72,435
Product_28,931.18,190
Product_29,62.66,478
Product_30,719.49,157
Product_31,832.19,84
Product_32,273.58,148
Product_33,13.47,296
Product_34,36.75,250
Product_35,435.76,291
Product_36,153.21,25
Product_37,130.63,359
Product_38,705.45,314
Product_39,944.18,129
Product_40,266.54,159
Product_41,735.41,346
Product_42,416.06,97
Product_43,366.26,401
Product_44,604.4,332
Product_45,523.7,31
Product_46,112.79,312
Product_47,53.75,429
Product_48,378.62,160
Product_49,120.18,428
Product_50,268.53,232
Product_51,791.86,136
Product_52,601.38,403
Product_53,33.22,488
Product_54,892.2,332
Product_55,138.46,403
Product_56,44.83,220
Product_57,132.55,77
Product_58,165.32,11
Product_59,722.14,466
Product_60,145.94,42
Product_61,686.01,177
Product_62,848.63,259
Product_63,139.26,85
Product_64,626.0,326
Product_65,865.94,248
Product_66,156.99,359
Product_67,569.33,390
Product_68,553.99,144
Product_69,45.5,446
Product_70,639.47,4
Product_71,681.24,394
Product_72,76.7,26
Product_73,924.32,490
Product_74,395.75,451
Product_75,914.21,159
Product_76,539.48,231
Product_77,212.54,352
Product_78,605.56,225
Product_79,32.3,10
Product_80,457.68,27
Product_81,49.61,297
Product_82,642.08,479
Product_83,437.22,336
Product_84,13.25,12
Product_85,609.09,219
Product_86,688.55,366
Product_87,72.22,330
Product_88,32.73,177
Product_89,947.55,214
Product_90,148.6,202
Product_91,363.48,126
Product_92,517.65,77
Product_93,987.64,372
Product_94,223.43,128
Product_95,506.28,416
Product_96,699.98,401
Product_97,582.72,142
Product_98,195.35,165
Product_99,446.04,454
Product_100,833.39,171
Product_101,575.31,438
Product_102,965.07,318
Product_103,881.56,307
Product_104,627.97,148
Product_105,287.55,339
Product_106,196.91,334
Product_107,470.4,53
Product_108,332.31,178
Product_109,332.11,342
Product_110,83.49,270
Product_111,310.82,341
Product_112,979.82,315
Product_113,332.05,303
Product_114,471.18,249
Product_115,798.32,45
Product_116,599.34,8
Product_117,393.34,339
Product_118,607.56,90
Product_119,239.71,254
Product_120,362.55,286
Product_121,289.65,233
Product_122,599.98,27
Product_123,553.54,133
Product_124,613.18,34
Product_125,731.62,402
Product_126,61.69,237
Product_127,836.8,282
Product_128,452.47,12
Product_129,832.84,205
Product_130,844.14,440
Product_131,817.86,468
Product_132,212.28,441
Product_133,513.36,7
Product_134,923.68,26
Product_135,197.16,381
Product_136,578.51,247
Product_137,258.81,64
Product_138,332.55,318
Product_139,648.94,372
Product_140,968.69,74
Product_141,116.75,170
Product_142,641.96,162
Product_143,103.75,209
Product_144,308.34,175
Product_145,895.38,362
Product_146,824.41,36
Product_147,21.77,72
Product_148,882.44,261
Product_149,215.57,354
Product_150,458.3,49
Product_151,80.63,17
Product_152,220.46,388
Product_153,614.28,310
Product_154,232.95,31
Product_155,80.82,146
Product_156,264.62,314
Product_157,216.35,363
Product_158,603.73,134
